D010146,C36511
C16133935,D004195
C4713,D020022
C6128,D000568
C5280343,D020022
D000208,C2094
C6325,D004195
C134664,D001145
C11979415,D004195
C14833,D011183
C131673831,D020022
E115653,D004195
C104741,D020022
C6917794,D011183
C9964,D004195
C5288798,D020022
C176155,D020022
C104805,D011183
C24831714,D004195
C25517,D020022
C21896651,D002102
C23957,D004194
C101834666,D011183
C5321251,D004195
C11424269,D004195
C4116,C4943
C656677,D006327
C452545,D020022
C71300413,D004195
C11571850,D004195
C5831,D001342
C122051,D004195
C44634701,D020022
C131888681,D008175
C179,D011183
C21680713,D016470
C10476,D020022
C9925886,D004195
C75049,D011183
C10311306,D004195
C15284,D010510
C101063449,D004195
C25151504,D004195
C16219094,D020022
C4075158,D020022
C2569,D009361
C439750,D004195
C382974,D004195
C67735799,D004195
C6337393,D004195
C65064,D020022
C156421,D011183
C8977,D020022
C44128157,D004195
C2396,D020022
C120737,D011183
C23958,D004195
C9574768,D004195
C122695,D004195
C3086007,D020022
C21151144,D004195
C62673,D004195
C54592379,D001342
C19690448,D004195
C5280493,D020022
C114994,D004195
C16363,C4943
C129695764,D011183
C9867157,D004195
C452545,D018450
C9832804,D002908
C102196860,D001927
E23440,D004195
C16130956,D011183
C7362,D011183
C443375,D011183
C10857732,D004195
C287291,D018450
C444036,D020022
C16131036,D011183
C131180,D011183
C44263344,D011183
C23662273,D011183
C44634701,D012008
C6334,D011183
C5281166,D004195
C4114,D020022
C32014,D012008
C67350,D004195
C439456,D012008
C134655,D011183
C3108,D012422
C11546234,D012008
C14547,D004195
E56339,D004195
C2815031,D011183
C44584575,D004195
C71587120,D013577
C11487842,D004195
C2569,D012878
C11397521,D011183
C5487517,D011183
C4697,D020022
C107810,D011183
C250388,D004195
C9882519,D011183
C71576667,D004195
C118984459,D004195
C122172888,D013622
C44263344,D002908
C24875298,D011183
C444028,D013577
C56840845,D011183
C50981,D011183
C5460705,D004195
C6097028,D020022
C5460291,D011183
C21151144,D009369
E1318,D004195
C131752401,D004195
C9804740,D011183
C122130350,D004195
C162282,D020022
C9839429,D011183
C6029,D020022
C4778,D004195
C46830365,D004195
C6235,C3310
C131888681,D001943
C51038,D011183
C447966,D011183
C102122,D011183
C9910486,D011183
C9918819,D004195
E79651,D011183
E89870,D011183
C9839429,D004195
C2723636,D004195
C46856306,D010523
C56842238,D008607
C2533,D020022
C6437055,D004195
C443652,D011183
C91611,D002908
C6918042,D011183
C183009,D002908
C5311005,D004195
C9574768,D011183
C71464474,D004195
C104747,D002278
C49778922,D004195
C56841868,D004195
C9883933,D004195
C16760598,D002908
C101925253,D011183
C62705,D004195
C441145,D020022
C175710,D004195
C6441227,D011183
C6436073,D011183
C91992243,D004195
C449241,D020022
C126522,D002908
C122081,D011183
C132970,D002908
C9939865,D004195
C174735,D011183
C104625,D011183
C71463816,D004195
C53259022,D004195
C3330,D002908
C101648091,D004195
C21145063,D011183
C10476,D018450
C24779632,D004195
C23926,D020022
C64781,D002908
C126501,D004195
C6812,D004195
C16202213,D004195
C3501942,D018450
C131888681,D012878
C44560080,D004195
C11186829,D004195
C3108,D006338
C31295,D011183
C4463,D009369
C14219,D006937
C93250,D004195
C6436073,D004195
C17113,D004195
C57369551,D009369
C124322,D004195
C57331749,D011183
E9659,D004195
C91158,D011183
D009784,C25087178
C71398,D020022
C133521,D004195
C5357696,D004283
C73348086,D004195
E387119,D004195
C92018785,D004195
C57396865,D011183
C9980126,D004195
C134655,D002908
C71310221,D011248
C802,D020022
C220401,D004195
C439305,D002908
C132970,D012008
C4122,D012008
C54707177,D004195
C30819,D002908
C126522,D012008
E9874,D011183
C66391,D020022
C2419,D011183
C9919857,D011183
C91711144,D013577
C2603,D002908
C3501942,D001943
C7140378,D018450
C56603492,D011183
C159832,D020022
C23688907,D011565
C107912,D004195
C838,D004195
C183009,D004195
C5392,D012008
C23725080,D002294
C12312731,D004195
C340165,D004195
C102018549,D004195
C128363,D004195
C68666,D004195
C37270,D004195
E85319,D004195
C129628097,D010437
C169867,D002908
C44630038,D020022
C189112,D004195
C96410,D004195
C9863827,D004195
C13811,D011183
C69952,D004195
C12110305,D004195
C122686,D011183
C71738,D012008
C3501942,D009369
C3081085,D004195
C167909,D011248
C3037188,D002908
C3371,D012008
C8744,D011183
C194564,D004195
C448545,D012008
C71314929,D020022
C519743,D011183
E84259,D002908
C123813,D011183
C6918473,D004195
C9840777,D004195
C15908,D004195
C54684141,D020022
C54678504,D011183
C439958,D011183
C5311226,D004195
C6386,D011183
C23672301,D011183
C854389,D004195
C4937,D011183
C1576,D012008
C16066663,D004195
C6335809,D011183
C10407120,D004195
C11525753,D018450
C122179,D011183
C62440,D004195
C6473876,D011183
C108011,D004195
C174203,D002908
C3051,D020022
C90479727,D004195
C23375907,D020022
E114781,D011183
C64781,D020022
C53801,D011183
C129010996,D004195
C27866,D011183
C441701,D004195
C448545,D002908
C23995,D013577
C22880,D011183
C21896651,D009784
C129317889,D004195
C166906,D011183
C6917964,D002288
C370,D020022
C11979415,D020022
C15983966,D011183
C2583,D012008
C5282279,D004195
E54545,D004195
C8964,D009784
C73209,D020022
C6453968,D011183
C6235,C441203
C6097028,D003920
C16211183,D004195
C208900,D004195
C124905,D004195
C2533,D018450
C60825,D000437
C4539,D020022
C11957723,D002908
C9897149,D004195
C5246,D001327
C70859,D004195
E8928,D011183
E340665,D004195
C9832804,D018450
C174203,D004195
C16219327,D012008
C104756,D004195
C29,D004195
C78357784,D012008
E5001,D011183
C23375907,C441203
C16757019,D004195
C3035428,D004195
C130045,D004195
C53477714,D006406
C2725002,D020022
E80832,D004195
C174203,D012008
C6436069,D002908
C75094,D011183
C88299,D004195
C21096,D004195
C779,D020022
C8480,D011183
C9833525,C441203
C5991,D004283
C171117,D011183
C6436073,D002908
C44147881,D011183
C3763,C16363
C12604,D012008
E23051,D004195
C413,D002908
C262,D011183
C23995,D011248
C91865678,D011183
C86289064,D004195
C132840,D004195
C131754,D004195
C10442,D012008
C656410,D004195
C5282229,D004195
E553128,D011183
C129003,D012008
C55431,D004195
C9578160,D004195
C176920,D011183
C62238,D004195
C961320,D011183
C16666708,D004195
C44352613,D018450
C62731,D020022
C15104874,D018450
C53321710,D004195
C114819,D009369
C6917794,D012008
C12699,D004283
C5311493,D009369
C11966249,D011183
C44135418,D004195
C129010398,D018450
E80321,D011183
C23688977,D004195
C21022,D004195
C11424269,D002908
C11220670,D004195
C76963641,D012008
C54685147,D012008
C9903497,D011183
C135191,D004195
C3876544,D011183
C51066575,D011183
C9832804,D007249
C9832423,D011183
E11234,D011183
C9548661,D007938
C6410,D009369
C21700,D009765
C470550,D004195
C11957693,D002908
C224478,D004195
E11152,D004195
C16219327,D004283
C122172888,D011529
C12311117,D004195
C5359967,C56841013
C23375907,C31703
C24855,D004195
C107903,D012008
C71738,D018450
C49792852,D011183
C129811,D004195
C101834666,D012008
C108934,D020022
C115110,D012008
E282679,D011183
C443375,D012008
C71738,D004195
C6437360,D004195
C9833525,D004195
C6419954,D012008
C177936,D011183
C56649463,D004195
C6450804,D004195
C2569,D018450
C10666340,D004195
E60672,D011183
C9827529,D011183
E64651,D004195
C9875938,D011183
E124976,D018450
C9782,D020022
C6441237,D004195
C86579284,D018450
C134655,D000208
C10696653,D004195
C5878,D012008
C5282106,D011183
C667575,D004195
C123154,D020022
C66775,D011183
C57357013,D018450
C5486550,D004195
C25078148,D004195
C9896881,D004195
C122403016,D020022
C22639818,D004195
C3035451,D011183
C71306818,D018450
C9882519,D012008
C5280343,D009364
C5312108,D004195
C3032874,D018450
C1024,D011183
C5831,D001327
C9827261,D004195
C16066663,D018450
E80352,D004195
C9833525,D018450
E55764,D004195
C6436069,D004195
C71464583,D004195
C6328176,D004195
